"","region","codigo_comuna","comuna","poblacion","semana","oportunidad_comuna","dia","oportunidad_region","oportunidad_pais"
"259","Araucanía",9203,"Curacautin",18178,19,1,2020-05-07,0.65,0.63
"260","Araucanía",9203,"Curacautin",18178,20,NA,2020-05-14,0.61,0.49
"261","Araucanía",9203,"Curacautin",18178,21,NA,2020-05-21,0.78,0.37
"262","Araucanía",9203,"Curacautin",18178,22,1,2020-05-28,0.55,0.29
"263","Araucanía",9203,"Curacautin",18178,23,NA,2020-06-04,0.66,0.3
"264","Araucanía",9203,"Curacautin",18178,24,0.75,2020-06-11,0.65,0.26
"265","Araucanía",9204,"Ercilla",8458,17,NA,2020-04-23,0.56,0.72
"266","Araucanía",9204,"Ercilla",8458,18,NA,2020-04-30,0.26,0.71
"267","Araucanía",9204,"Ercilla",8458,19,NA,2020-05-07,0.65,0.63
"268","Araucanía",9204,"Ercilla",8458,20,NA,2020-05-14,0.61,0.49
"269","Araucanía",9204,"Ercilla",8458,21,NA,2020-05-21,0.78,0.37
"270","Araucanía",9204,"Ercilla",8458,22,0.2,2020-05-28,0.55,0.29
"271","Araucanía",9204,"Ercilla",8458,23,NA,2020-06-04,0.66,0.3
"272","Araucanía",9204,"Ercilla",8458,24,0.5,2020-06-11,0.65,0.26
"273","Araucanía",9205,"Lonquimay",11049,17,NA,2020-04-23,0.56,0.72
"274","Araucanía",9205,"Lonquimay",11049,18,NA,2020-04-30,0.26,0.71
"275","Araucanía",9205,"Lonquimay",11049,19,0.5,2020-05-07,0.65,0.63
"276","Araucanía",9205,"Lonquimay",11049,20,0.23,2020-05-14,0.61,0.49
"277","Araucanía",9205,"Lonquimay",11049,21,0.6,2020-05-21,0.78,0.37
"278","Araucanía",9205,"Lonquimay",11049,22,NA,2020-05-28,0.55,0.29
"279","Araucanía",9205,"Lonquimay",11049,23,0,2020-06-04,0.66,0.3
"280","Araucanía",9205,"Lonquimay",11049,24,NA,2020-06-11,0.65,0.26
"281","Araucanía",9206,"Los Sauces",7517,17,NA,2020-04-23,0.56,0.72
"282","Araucanía",9206,"Los Sauces",7517,18,NA,2020-04-30,0.26,0.71
"283","Araucanía",9206,"Los Sauces",7517,19,NA,2020-05-07,0.65,0.63
"284","Araucanía",9206,"Los Sauces",7517,20,NA,2020-05-14,0.61,0.49
"285","Araucanía",9206,"Los Sauces",7517,21,NA,2020-05-21,0.78,0.37
"286","Araucanía",9206,"Los Sauces",7517,22,NA,2020-05-28,0.55,0.29
"287","Araucanía",9206,"Los Sauces",7517,23,1,2020-06-04,0.66,0.3
"288","Araucanía",9206,"Los Sauces",7517,24,NA,2020-06-11,0.65,0.26
"289","Araucanía",9207,"Lumaco",10050,17,0,2020-04-23,0.56,0.72
"290","Araucanía",9207,"Lumaco",10050,18,NA,2020-04-30,0.26,0.71
"291","Araucanía",9207,"Lumaco",10050,19,NA,2020-05-07,0.65,0.63
"292","Araucanía",9207,"Lumaco",10050,20,NA,2020-05-14,0.61,0.49
"293","Araucanía",9207,"Lumaco",10050,21,NA,2020-05-21,0.78,0.37
"294","Araucanía",9207,"Lumaco",10050,22,0,2020-05-28,0.55,0.29
"295","Araucanía",9207,"Lumaco",10050,23,NA,2020-06-04,0.66,0.3
"296","Araucanía",9207,"Lumaco",10050,24,0,2020-06-11,0.65,0.26
"297","Araucanía",9208,"Puren",12188,17,NA,2020-04-23,0.56,0.72
"298","Araucanía",9208,"Puren",12188,18,0,2020-04-30,0.26,0.71
"299","Araucanía",9208,"Puren",12188,19,0,2020-05-07,0.65,0.63
"300","Araucanía",9208,"Puren",12188,20,NA,2020-05-14,0.61,0.49
"301","Araucanía",9208,"Puren",12188,21,NA,2020-05-21,0.78,0.37
"302","Araucanía",9208,"Puren",12188,22,0,2020-05-28,0.55,0.29
"303","Araucanía",9208,"Puren",12188,23,NA,2020-06-04,0.66,0.3
"304","Araucanía",9208,"Puren",12188,24,NA,2020-06-11,0.65,0.26
"305","Araucanía",9209,"Renaico",10833,17,NA,2020-04-23,0.56,0.72
"306","Araucanía",9209,"Renaico",10833,18,1,2020-04-30,0.26,0.71
"307","Araucanía",9209,"Renaico",10833,19,NA,2020-05-07,0.65,0.63
"308","Araucanía",9209,"Renaico",10833,20,1,2020-05-14,0.61,0.49
"309","Araucanía",9209,"Renaico",10833,21,0.5,2020-05-21,0.78,0.37
"310","Araucanía",9209,"Renaico",10833,22,0.67,2020-05-28,0.55,0.29
"311","Araucanía",9209,"Renaico",10833,23,1,2020-06-04,0.66,0.3
"312","Araucanía",9209,"Renaico",10833,24,0.67,2020-06-11,0.65,0.26
"313","Araucanía",9210,"Traiguen",19314,17,NA,2020-04-23,0.56,0.72
"314","Araucanía",9210,"Traiguen",19314,18,NA,2020-04-30,0.26,0.71
"315","Araucanía",9210,"Traiguen",19314,19,NA,2020-05-07,0.65,0.63
"316","Araucanía",9210,"Traiguen",19314,20,1,2020-05-14,0.61,0.49
"317","Araucanía",9210,"Traiguen",19314,21,1,2020-05-21,0.78,0.37
"318","Araucanía",9210,"Traiguen",19314,22,NA,2020-05-28,0.55,0.29
"319","Araucanía",9210,"Traiguen",19314,23,0.5,2020-06-04,0.66,0.3
