"","date","comuna","region","codigo_comuna","n"
"253",2020-03-16,"Pudahuel","Metropolitana",13124,0
"254",2020-03-16,"Puente Alto","Metropolitana",13201,0
"255",2020-03-16,"Puerto Montt","Los Lagos",10101,0
"256",2020-03-16,"Puerto Octay","Los Lagos",10302,0
"257",2020-03-16,"Puerto Varas","Los Lagos",10109,0
"258",2020-03-16,"Pumanque","Del Libertador General Bernardo O’Higgins",6309,0
"259",2020-03-16,"Punitaqui","Coquimbo",4304,0
"260",2020-03-16,"Punta Arenas","Magallanes y la Antartica",12101,0
"261",2020-03-16,"Puqueldon","Los Lagos",10206,0
"262",2020-03-16,"Puren","La Araucania",9208,0
"263",2020-03-16,"Purranque","Los Lagos",10303,0
"264",2020-03-16,"Putaendo","Valparaiso",5705,0
"265",2020-03-16,"Putre","Arica y Parinacota",15201,0
"266",2020-03-16,"Puyehue","Los Lagos",10304,0
"267",2020-03-16,"Queilen","Los Lagos",10207,0
"268",2020-03-16,"Quellon","Los Lagos",10208,0
"269",2020-03-16,"Quemchi","Los Lagos",10209,0
"270",2020-03-16,"Quilaco","Biobio",8308,0
"271",2020-03-16,"Quilicura","Metropolitana",13125,0
"272",2020-03-16,"Quilleco","Biobio",8309,0
"273",2020-03-16,"Quillon","Nuble",16107,0
"274",2020-03-16,"Quillota","Valparaiso",5501,0
"275",2020-03-16,"Quilpue","Valparaiso",5801,0
"276",2020-03-16,"Quinchao","Los Lagos",10210,0
"277",2020-03-16,"Quinta de Tilcoco","Del Libertador General Bernardo O’Higgins",6114,0
"278",2020-03-16,"Quinta Normal","Metropolitana",13126,0
"279",2020-03-16,"Quintero","Valparaiso",5107,0
"280",2020-03-16,"Quirihue","Nuble",16201,0
"281",2020-03-16,"Rancagua","Del Libertador General Bernardo O’Higgins",6101,0
"282",2020-03-16,"Ranquil","Nuble",16206,0
"283",2020-03-16,"Rauco","Maule",7305,0
"284",2020-03-16,"Recoleta","Metropolitana",13127,0
"285",2020-03-16,"Renaico","La Araucania",9209,0
"286",2020-03-16,"Renca","Metropolitana",13128,0
"287",2020-03-16,"Rengo","Del Libertador General Bernardo O’Higgins",6115,0
"288",2020-03-16,"Requinoa","Del Libertador General Bernardo O’Higgins",6116,0
"289",2020-03-16,"Retiro","Maule",7405,0
"290",2020-03-16,"Rinconada","Valparaiso",5303,0
"291",2020-03-16,"Rio Bueno","Los Rios",14204,0
"292",2020-03-16,"Rio Claro","Maule",7108,0
"293",2020-03-16,"Rio Hurtado","Coquimbo",4305,0
"294",2020-03-16,"Rio Ibanez","Aysen",11402,0
"295",2020-03-16,"Rio Negro","Los Lagos",10305,0
"296",2020-03-16,"Rio Verde","Magallanes y la Antartica",12103,0
"297",2020-03-16,"Romeral","Maule",7306,0
"298",2020-03-16,"Saavedra","La Araucania",9116,0
"299",2020-03-16,"Sagrada Familia","Maule",7307,0
"300",2020-03-16,"Salamanca","Coquimbo",4204,0
"301",2020-03-16,"San Antonio","Valparaiso",5601,0
"302",2020-03-16,"San Bernardo","Metropolitana",13401,0
"303",2020-03-16,"San Carlos","Nuble",16301,0
"304",2020-03-16,"San Clemente","Maule",7109,0
"305",2020-03-16,"San Esteban","Valparaiso",5304,0
"306",2020-03-16,"San Fabian","Nuble",16304,0
"307",2020-03-16,"San Felipe","Valparaiso",5701,0
"308",2020-03-16,"San Fernando","Del Libertador General Bernardo O’Higgins",6301,0
"309",2020-03-16,"San Gregorio","Magallanes y la Antartica",12104,0
"310",2020-03-16,"San Ignacio","Nuble",16108,0
"311",2020-03-16,"San Javier","Maule",7406,0
"312",2020-03-16,"San Joaquin","Metropolitana",13129,0
"313",2020-03-16,"San Jose de Maipo","Metropolitana",13203,0
"314",2020-03-16,"San Juan de la Costa","Los Lagos",10306,0
"315",2020-03-16,"San Miguel","Metropolitana",13130,1
"316",2020-03-16,"San Nicolas","Nuble",16305,0
"317",2020-03-16,"San Pablo","Los Lagos",10307,0
"318",2020-03-16,"San Pedro","Metropolitana",13505,0
"319",2020-03-16,"San Pedro de Atacama","Antofagasta",2203,0
"320",2020-03-16,"San Pedro de la Paz","Biobio",8108,0
"321",2020-03-16,"San Rafael","Maule",7110,0
"322",2020-03-16,"San Ramon","Metropolitana",13131,0
"323",2020-03-16,"San Rosendo","Biobio",8310,0
"324",2020-03-16,"San Vicente","Del Libertador General Bernardo O’Higgins",6117,0
"325",2020-03-16,"Santa Barbara","Biobio",8311,0
"326",2020-03-16,"Santa Cruz","Del Libertador General Bernardo O’Higgins",6310,0
"327",2020-03-16,"Santa Juana","Biobio",8109,0
"328",2020-03-16,"Santa Maria","Valparaiso",5706,0
"329",2020-03-16,"Santiago","Metropolitana",13101,0
"330",2020-03-16,"Santo Domingo","Valparaiso",5606,0
"331",2020-03-16,"Sierra Gorda","Antofagasta",2103,0
"332",2020-03-16,"Talagante","Metropolitana",13601,0
"333",2020-03-16,"Talca","Maule",7101,0
"334",2020-03-16,"Talcahuano","Biobio",8110,0
"335",2020-03-16,"Taltal","Antofagasta",2104,0
"336",2020-03-16,"Temuco","La Araucania",9101,0
"337",2020-03-16,"Teno","Maule",7308,0
"338",2020-03-16,"Teodoro Schmidt","La Araucania",9117,0
"339",2020-03-16,"Tierra Amarilla","Atacama",3103,0
"340",2020-03-16,"Tiltil","Metropolitana",13303,0
"341",2020-03-16,"Timaukel","Magallanes y la Antartica",12303,0
"342",2020-03-16,"Tirua","Biobio",8207,0
"343",2020-03-16,"Tocopilla","Antofagasta",2301,0
"344",2020-03-16,"Tolten","La Araucania",9118,0
"345",2020-03-16,"Tome","Biobio",8111,0
"346",2020-03-16,"Torres del Paine","Magallanes y la Antartica",12402,0
"347",2020-03-16,"Tortel","Aysen",11303,0
"348",2020-03-16,"Traiguen","La Araucania",9210,0
"349",2020-03-16,"Treguaco","Nuble",16207,0
"350",2020-03-16,"Tucapel","Biobio",8312,0
"351",2020-03-16,"Valdivia","Los Rios",14101,0
"352",2020-03-16,"Vallenar","Atacama",3301,0
"353",2020-03-16,"Valparaiso","Valparaiso",5101,0
"354",2020-03-16,"Vichuquen","Maule",7309,0
"355",2020-03-16,"Victoria","La Araucania",9211,0
"356",2020-03-16,"Vicuna","Coquimbo",4106,0
"357",2020-03-16,"Vilcun","La Araucania",9119,0
"358",2020-03-16,"Villa Alegre","Maule",7407,0
"359",2020-03-16,"Villa Alemana","Valparaiso",5804,0
"360",2020-03-16,"Villarrica","La Araucania",9120,0
"361",2020-03-16,"Vina del Mar","Valparaiso",5109,0
"362",2020-03-16,"Vitacura","Metropolitana",13132,0
"363",2020-03-16,"Yerbas Buenas","Maule",7408,0
"364",2020-03-16,"Yumbel","Biobio",8313,0
"365",2020-03-16,"Yungay","Nuble",16109,0
"366",2020-03-16,"Zapallar","Valparaiso",5405,0
"367",2020-03-17,"Algarrobo","Valparaiso",5602,0
"368",2020-03-17,"Alhue","Metropolitana",13502,0
"369",2020-03-17,"Alto Biobio","Biobio",8314,0
"370",2020-03-17,"Alto del Carmen","Atacama",3302,0
"371",2020-03-17,"Alto Hospicio","Tarapaca",1107,0
"372",2020-03-17,"Ancud","Los Lagos",10202,0
"373",2020-03-17,"Andacollo","Coquimbo",4103,0
"374",2020-03-17,"Angol","La Araucania",9201,0
"375",2020-03-17,"Antartica","Magallanes y la Antartica",12202,0
"376",2020-03-17,"Antofagasta","Antofagasta",2101,0
"377",2020-03-17,"Antuco","Biobio",8302,0
"378",2020-03-17,"Arauco","Biobio",8202,0
"379",2020-03-17,"Arica","Arica y Parinacota",15101,0
"380",2020-03-17,"Aysén","Aysen",11201,0
"381",2020-03-17,"Buin","Metropolitana",13402,0
"382",2020-03-17,"Bulnes","Nuble",16102,0
"383",2020-03-17,"Cabildo","Valparaiso",5402,0
"384",2020-03-17,"Cabo de Hornos","Magallanes y la Antartica",12201,0
"385",2020-03-17,"Cabrero","Biobio",8303,0
"386",2020-03-17,"Calama","Antofagasta",2201,0
"387",2020-03-17,"Calbuco","Los Lagos",10102,0
"388",2020-03-17,"Caldera","Atacama",3102,0
"389",2020-03-17,"Calera","Valparaiso",5502,0
"390",2020-03-17,"Calera de Tango","Metropolitana",13403,0
"391",2020-03-17,"Calle Larga","Valparaiso",5302,0
"392",2020-03-17,"Camarones","Arica y Parinacota",15102,0
"393",2020-03-17,"Camina","Tarapaca",1402,0
"394",2020-03-17,"Canela","Coquimbo",4202,0
"395",2020-03-17,"Canete","Biobio",8203,0
"396",2020-03-17,"Carahue","La Araucania",9102,0
"397",2020-03-17,"Cartagena","Valparaiso",5603,0
"398",2020-03-17,"Casablanca","Valparaiso",5102,0
"399",2020-03-17,"Castro","Los Lagos",10201,0
"400",2020-03-17,"Catemu","Valparaiso",5702,0
"401",2020-03-17,"Cauquenes","Maule",7201,0
"402",2020-03-17,"Cerrillos","Metropolitana",13102,0
"403",2020-03-17,"Cerro Navia","Metropolitana",13103,0
"404",2020-03-17,"Chaiten","Los Lagos",10401,0
"405",2020-03-17,"Chanaral","Atacama",3201,0
"406",2020-03-17,"Chanco","Maule",7202,0
"407",2020-03-17,"Chepica","Del Libertador General Bernardo O’Higgins",6302,0
