"","comuna","region","codigo_comuna","oportunidad_comuna","oportunidad_region","oportunidad_pais","semana","dia"
"293","Casablanca","Valparaíso",5102,NA,NA,NA,16,2020-04-15
"294","Catemu","Valparaíso",5702,NA,NA,NA,16,2020-04-15
"295","Concon","Valparaíso",5103,NA,NA,NA,16,2020-04-15
"296","El Quisco","Valparaíso",5604,NA,NA,NA,16,2020-04-15
"297","El Tabo","Valparaíso",5605,NA,NA,NA,16,2020-04-15
"298","Hijuelas","Valparaíso",5503,NA,NA,NA,16,2020-04-15
"299","Isla de Pascua","Valparaíso",5201,NA,NA,NA,16,2020-04-15
"300","Juan Fernandez","Valparaíso",5104,NA,NA,NA,16,2020-04-15
"301","La Cruz","Valparaíso",5504,NA,NA,NA,16,2020-04-15
"302","La Ligua","Valparaíso",5401,NA,NA,NA,16,2020-04-15
"303","Limache","Valparaíso",5802,NA,NA,NA,16,2020-04-15
"304","Llaillay","Valparaíso",5703,NA,NA,NA,16,2020-04-15
"305","Los Andes","Valparaíso",5301,NA,NA,NA,16,2020-04-15
"306","Nogales","Valparaíso",5506,NA,NA,NA,16,2020-04-15
"307","Olmue","Valparaíso",5803,NA,NA,NA,16,2020-04-15
"308","Panquehue","Valparaíso",5704,NA,NA,NA,16,2020-04-15
"309","Papudo","Valparaíso",5403,NA,NA,NA,16,2020-04-15
"310","Petorca","Valparaíso",5404,NA,NA,NA,16,2020-04-15
"311","Puchuncavi","Valparaíso",5105,NA,NA,NA,16,2020-04-15
"312","Putaendo","Valparaíso",5705,NA,NA,NA,16,2020-04-15
"313","Quillota","Valparaíso",5501,NA,NA,NA,16,2020-04-15
"314","Quilpue","Valparaíso",5801,NA,NA,NA,16,2020-04-15
"315","Quintero","Valparaíso",5107,NA,NA,NA,16,2020-04-15
"316","Rinconada","Valparaíso",5303,NA,NA,NA,16,2020-04-15
"317","San Antonio","Valparaíso",5601,NA,NA,NA,16,2020-04-15
"318","San Esteban","Valparaíso",5304,NA,NA,NA,16,2020-04-15
"319","San Felipe","Valparaíso",5701,NA,NA,NA,16,2020-04-15
"320","Santa Maria","Valparaíso",5706,NA,NA,NA,16,2020-04-15
"321","Santo Domingo","Valparaíso",5606,NA,NA,NA,16,2020-04-15
"322","Valparaiso","Valparaíso",5101,NA,NA,NA,16,2020-04-15
"323","Villa Alemana","Valparaíso",5804,NA,NA,NA,16,2020-04-15
"324","Vina del Mar","Valparaíso",5109,NA,NA,NA,16,2020-04-15
"325","Zapallar","Valparaíso",5405,NA,NA,NA,16,2020-04-15
"326","Bulnes","Ñuble",16102,NA,NA,NA,16,2020-04-15
"327","Chillan","Ñuble",16101,NA,NA,NA,16,2020-04-15
"328","Chillan Viejo","Ñuble",16103,NA,NA,NA,16,2020-04-15
"329","Cobquecura","Ñuble",16202,NA,NA,NA,16,2020-04-15
"330","Coelemu","Ñuble",16203,NA,NA,NA,16,2020-04-15
"331","Coihueco","Ñuble",16302,NA,NA,NA,16,2020-04-15
"332","El Carmen","Ñuble",16104,NA,NA,NA,16,2020-04-15
"333","Ninhue","Ñuble",16204,NA,NA,NA,16,2020-04-15
"334","Niquen","Ñuble",16303,NA,NA,NA,16,2020-04-15
"335","Pemuco","Ñuble",16105,NA,NA,NA,16,2020-04-15
"336","Pinto","Ñuble",16106,NA,NA,NA,16,2020-04-15
"337","Portezuelo","Ñuble",16205,NA,NA,NA,16,2020-04-15
"338","Quillon","Ñuble",16107,NA,NA,NA,16,2020-04-15
"339","Quirihue","Ñuble",16201,NA,NA,NA,16,2020-04-15
"340","Ranquil","Ñuble",16206,NA,NA,NA,16,2020-04-15
"341","San Carlos","Ñuble",16301,NA,NA,NA,16,2020-04-15
"342","San Fabian","Ñuble",16304,NA,NA,NA,16,2020-04-15
"343","San Ignacio","Ñuble",16108,NA,NA,NA,16,2020-04-15
"344","San Nicolas","Ñuble",16305,NA,NA,NA,16,2020-04-15
"345","Treguaco","Ñuble",16207,NA,NA,NA,16,2020-04-15
"346","Yungay","Ñuble",16109,NA,NA,NA,16,2020-04-15
"347","Antofagasta","Antofagasta",2101,NA,NA,NA,17,2020-04-22
"348","Calama","Antofagasta",2201,NA,NA,NA,17,2020-04-22
"349","Maria Elena","Antofagasta",2302,NA,NA,NA,17,2020-04-22
"350","Mejillones","Antofagasta",2102,NA,NA,NA,17,2020-04-22
